Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Tari Eason (36791146),Tari Eason,36791146,SF/PF/F/UTIL,5800,HOU@MIN 11/26/2024 08:00PM ET,HOU,28.07
PG/SG,Collin Sexton (36791150),Collin Sexton,36791150,PG/SG/G/UTIL,5800,SAS@UTA 11/26/2024 09:00PM ET,UTA,25.86
C,Walker Kessler (36791154),Walker Kessler,36791154,C/UTIL,5800,SAS@UTA 11/26/2024 09:00PM ET,UTA,30.7
SF,Bilal Coulibaly (36791159),Bilal Coulibaly,36791159,SF/F/UTIL,5700,CHI@WAS 11/26/2024 07:00PM ET,WAS,29.36
PG,Tyus Jones (36791156),Tyus Jones,36791156,PG/G/UTIL,5700,LAL@PHX 11/26/2024 10:00PM ET,PHX,28.16
PG/SG,Malcolm Brogdon (36791162),Malcolm Brogdon,36791162,PG/SG/G/UTIL,5600,CHI@WAS 11/26/2024 07:00PM ET,WAS,18.25
PG/SG,Ayo Dosunmu (36791173),Ayo Dosunmu,36791173,PG/SG/G/UTIL,5500,CHI@WAS 11/26/2024 07:00PM ET,CHI,24.04
PF/C,Bobby Portis (36791169),Bobby Portis,36791169,PF/C/F/UTIL,5500,MIL@MIA 11/26/2024 07:30PM ET,MIL,26.70
PG,Keyonte George (36791166),Keyonte George,36791166,PG/G/UTIL,5500,SAS@UTA 11/26/2024 09:00PM ET,UTA,28.27
SG,Devin Vassell (36791177),Devin Vassell,36791177,SG/G/UTIL,5500,SAS@UTA 11/26/2024 09:00PM ET,SAS,25.44
SF/PF,Keldon Johnson (36791180),Keldon Johnson,36791180,SF/PF/F/UTIL,5400,SAS@UTA 11/26/2024 09:00PM ET,SAS,24.89
SG,Jordan Clarkson (36791184),Jordan Clarkson,36791184,SG/G/UTIL,5400,SAS@UTA 11/26/2024 09:00PM ET,UTA,27.27
SF,Saddiq Bey (36791193),Saddiq Bey,36791193,SF/F/UTIL,5200,CHI@WAS 11/26/2024 07:00PM ET,WAS,0
